algo,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_pauses
dijkstra,12547874,29477659,25118959,29800676,32170507,5402,9123535,35812.105918999994,14496197,1454,0,0
astar_chpot,12547874,29477659,1792,1454,1875,1,1454,18.654999,14496197,1454,0,0
dijkstra_bidir,12547874,29477659,25118959,29800676,32170507,5402,9123535,58323.509564,14496197,1454,0,0
astar_bidir_chpot,12547874,29477659,1792,1454,1875,1,1454,35.948542,14496197,1454,0,0
core_ch,12547874,29477659,1792,1454,1875,1,1454,4.101294,14496197,1454,0,0
core_ch_chpot,12547874,29477659,1792,1454,1875,1,1454,22.671599,14496197,1454,0,0
dijkstra,12547874,29477659,29458738,35590224,38613920,5519,8610011,48327.496207000004,13668834,1331,0,0
astar_chpot,12547874,29477659,1557,1331,1561,2,1331,3.30607,13668834,1331,0,0
dijkstra_bidir,12547874,29477659,29458738,35590224,38613920,5519,8610011,56111.573095,13668834,1331,0,0
astar_bidir_chpot,12547874,29477659,1557,1331,1561,2,1331,4.650867000000001,13668834,1331,0,0
core_ch,12547874,29477659,1557,1331,1561,2,1331,4.5754209999999995,13668834,1331,0,0
core_ch_chpot,12547874,29477659,1557,1331,1561,2,1331,5.704278,13668834,1331,0,0
dijkstra,12547874,29477659,48990919,59709280,64269831,9355,11110674,81798.37743000001,20793825,1619,2,1
astar_chpot,12547874,29477659,3747,3257,3972,7,2384,3.6374649999999997,20793825,1619,2,1
dijkstra_bidir,12547874,29477659,48990919,59709280,64269831,9355,11110674,87714.34553100001,20793825,1619,2,1
astar_bidir_chpot,12547874,29477659,3747,3257,3972,7,2384,8.818179,20793825,1619,2,1
core_ch,12547874,29477659,3747,3257,3972,7,2384,4.942251,NaN,NaN,NaN,NaN
core_ch_chpot,12547874,29477659,3747,3257,3972,7,2384,12.014294,NaN,NaN,NaN,NaN
dijkstra,12547874,29477659,7070867,7443104,8083278,959,3023001,8445.158616,9084959,929,0,0
astar_chpot,12547874,29477659,1236,929,1269,1,929,2.1748439999999998,9084959,929,0,0
dijkstra_bidir,12547874,29477659,7070867,7443104,8083278,959,3023001,24191.355367,9084959,929,0,0
astar_bidir_chpot,12547874,29477659,1236,929,1269,1,929,2.0335520000000002,9084959,929,0,0
core_ch,12547874,29477659,1236,929,1269,1,929,2.7498810000000002,9084959,929,0,0
core_ch_chpot,12547874,29477659,1236,929,1269,1,929,1.938113,9084959,929,0,0
dijkstra,12547874,29477659,25512621,29878239,32458790,5147,9271377,40571.907794,13004072,1535,0,0
astar_chpot,12547874,29477659,1965,1535,1973,0,1535,2.686207,13004072,1535,0,0
dijkstra_bidir,12547874,29477659,25512621,29878239,32458790,5147,9271377,65955.951531,13004072,1535,0,0
astar_bidir_chpot,12547874,29477659,1965,1535,1973,0,1535,4.059073,13004072,1535,0,0
core_ch,12547874,29477659,1965,1535,1973,0,1535,4.254854,13004072,1535,0,0
core_ch_chpot,12547874,29477659,1965,1535,1973,0,1535,5.133093,13004072,1535,0,0
dijkstra,12547874,29477659,2377241,2362995,2575672,455,1901791,2172.419727,5929654,657,0,0
astar_chpot,12547874,29477659,850,657,856,0,657,2.143801,5929654,657,0,0
dijkstra_bidir,12547874,29477659,2377241,2362995,2575672,455,1901791,4437.010828,5929654,657,0,0
astar_bidir_chpot,12547874,29477659,850,657,856,0,657,3.2201809999999997,5929654,657,0,0
core_ch,12547874,29477659,850,657,856,0,657,2.2368230000000002,5929654,657,0,0
core_ch_chpot,12547874,29477659,850,657,856,0,657,3.609299,5929654,657,0,0
dijkstra,12547874,29477659,10178340,10912586,11856892,2743,5271299,12496.697684,10421960,1174,0,0
astar_chpot,12547874,29477659,1599,1174,1606,0,1174,2.329209,10421960,1174,0,0
dijkstra_bidir,12547874,29477659,10178340,10912586,11856892,2743,5271299,36788.310866,10421960,1174,0,0
astar_bidir_chpot,12547874,29477659,1599,1174,1606,0,1174,3.0000959999999997,10421960,1174,0,0
core_ch,12547874,29477659,1599,1174,1606,0,1174,3.652218,10421960,1174,0,0
core_ch_chpot,12547874,29477659,1599,1174,1606,0,1174,3.697984,10421960,1174,0,0
dijkstra,12547874,29477659,13966896,18954134,20451581,3079,4756275,21926.070543,15782412,1426,0,0
astar_chpot,12547874,29477659,1822,1426,1831,0,1426,2.3202629999999997,15782412,1426,0,0
dijkstra_bidir,12547874,29477659,13966896,18954134,20451581,3079,4756275,70246.014854,15782412,1426,0,0
astar_bidir_chpot,12547874,29477659,1822,1426,1831,0,1426,2.546489,15782412,1426,0,0
