algo,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_short_pauses,path_number_long_pauses
astar_chpot,81505729,189837356,700,404,714,0,404,37.411195,2538381,404,0,0,0
astar_bidir_chpot,81505729,189837356,700,404,714,0,404,54.353971,2538381,404,0,0,0
core_ch,81505729,189837356,700,404,714,0,404,7.733061,2538381,404,0,0,0
core_ch_chpot,81505729,189837356,700,404,714,0,404,20.699454,2538381,404,0,0,0
astar_chpot,81505729,189837356,2,2,1,0,2,1.997678,NaN,NaN,NaN,NaN,NaN
astar_bidir_chpot,81505729,189837356,2,2,1,0,2,3.744231,NaN,NaN,NaN,NaN,NaN
core_ch,81505729,189837356,2,2,1,0,2,2.301114,NaN,NaN,NaN,NaN,NaN
core_ch_chpot,81505729,189837356,2,2,1,0,2,4.574347,NaN,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,62925,62518,70688,267,11966,59.407067,69972955,3101,11,2,1
astar_bidir_chpot,81505729,189837356,62925,62518,70688,267,11966,119.490992,69972955,3101,11,2,1
core_ch,81505729,189837356,62925,62518,70688,267,11966,1080.867987,69852695,3101,11,2,1
core_ch_chpot,81505729,189837356,62925,62518,70688,267,11966,105.321957,69852695,3101,11,2,1
astar_chpot,81505729,189837356,80,80,82,0,31,0.915366,NaN,NaN,NaN,NaN,NaN
astar_bidir_chpot,81505729,189837356,80,80,82,0,31,2.760983,NaN,NaN,NaN,NaN,NaN
core_ch,81505729,189837356,80,80,82,0,31,744.4132999999999,NaN,NaN,NaN,NaN,NaN
core_ch_chpot,81505729,189837356,80,80,82,0,31,3.106775,NaN,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,27556,26465,31936,56,13358,23.404369000000003,76877281,3091,6,2,1
astar_bidir_chpot,81505729,189837356,27556,26465,31936,56,13358,32.190909,76877281,3091,6,2,1
core_ch,81505729,189837356,27556,26465,31936,56,13358,819.060189,80793229,3091,6,2,1
core_ch_chpot,81505729,189837356,27556,26465,31936,56,13358,40.09251,80793229,3091,6,2,1
astar_chpot,81505729,189837356,11703060,14853093,16062319,3608,3884829,20579.891107000003,93994189,4713,5,3,1
astar_bidir_chpot,81505729,189837356,11703060,14853093,16062319,3608,3884829,23696.412785,93994189,4713,5,3,1
core_ch,81505729,189837356,11703060,14853093,16062319,3608,3884829,822.084921,98439676,4713,5,3,1
core_ch_chpot,81505729,189837356,11703060,14853093,16062319,3608,3884829,102.881502,98684706,4713,5,3,1
astar_chpot,81505729,189837356,25211188,38128206,40737015,4903,7517191,61025.522875,162640645,5763,13,7,2
astar_bidir_chpot,81505729,189837356,25211188,38128206,40737015,4903,7517191,71245.351308,162640645,5763,13,7,2
core_ch,81505729,189837356,25211188,38128206,40737015,4903,7517191,862.7715929999999,189345440,5763,13,7,2
core_ch_chpot,81505729,189837356,25211188,38128206,40737015,4903,7517191,239.09106899999998,189345440,5763,13,7,2
astar_chpot,81505729,189837356,3064244,3044038,3469340,1527,2390665,3847.590832,84649783,3356,6,3,1
astar_bidir_chpot,81505729,189837356,3064244,3044038,3469340,1527,2390665,4679.210929,84649783,3356,6,3,1
core_ch,81505729,189837356,3064244,3044038,3469340,1527,2390665,899.2944389999999,85222716,3356,6,3,1
core_ch_chpot,81505729,189837356,3064244,3044038,3469340,1527,2390665,54.514202,85222716,3356,6,3,1
astar_chpot,81505729,189837356,2322175,2559974,2948730,6,1398653,1756.700102,NaN,NaN,NaN,NaN,NaN
astar_bidir_chpot,81505729,189837356,2322175,2559974,2948730,6,1398653,8035.63434,NaN,NaN,NaN,NaN,NaN
core_ch,81505729,189837356,2322175,2559974,2948730,6,1398653,525.54462,NaN,NaN,NaN,NaN,NaN
core_ch_chpot,81505729,189837356,2322175,2559974,2948730,6,1398653,627.321313,NaN,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,1150,941,1152,0,941,1.9477929999999999,9046011,941,0,0,0
astar_bidir_chpot,81505729,189837356,1150,941,1152,0,941,3.624202,9046011,941,0,0,0
core_ch,81505729,189837356,1150,941,1152,0,941,58.130919000000006,9046011,941,0,0,0
core_ch_chpot,81505729,189837356,1150,941,1152,0,941,3.888492,9046011,941,0,0,0
astar_chpot,81505729,189837356,402745,500364,559522,192,296919,356.488368,151567694,4548,10,5,2
astar_bidir_chpot,81505729,189837356,402745,500364,559522,192,296919,33037.460241,151567694,4548,10,5,2
core_ch,81505729,189837356,402745,500364,559522,192,296919,1139.786026,165907467,4548,10,5,2
core_ch_chpot,81505729,189837356,402745,500364,559522,192,296919,45.305454000000005,165907467,4548,10,5,2
astar_chpot,81505729,189837356,47883,51522,62093,779,9976,166.299119,73072045,2834,7,2,1
astar_bidir_chpot,81505729,189837356,47883,51522,62093,779,9976,43.124716,73072045,2834,7,2,1
core_ch,81505729,189837356,47883,51522,62093,779,9976,1326.81293,72987180,2834,7,2,1
core_ch_chpot,81505729,189837356,47883,51522,62093,779,9976,12.425118000000001,72987180,2834,7,2,1
astar_chpot,81505729,189837356,5495,4521,5634,3,3732,283.630608,25999125,2156,2,1,0
astar_bidir_chpot,81505729,189837356,5495,4521,5634,3,3732,8.509718,25999125,2156,2,1,0
core_ch,81505729,189837356,5495,4521,5634,3,3732,618.100419,27344667,2156,2,1,0
core_ch_chpot,81505729,189837356,5495,4521,5634,3,3732,29.913099,27273220,2156,2,1,0
astar_chpot,81505729,189837356,397937,447846,506065,51,311273,491.673014,98576157,4951,3,3,1
astar_bidir_chpot,81505729,189837356,397937,447846,506065,51,311273,2856.148413,98576157,4951,3,3,1
core_ch,81505729,189837356,397937,447846,506065,51,311273,1265.340776,106851008,4951,3,3,1
core_ch_chpot,81505729,189837356,397937,447846,506065,51,311273,213.646959,106634902,4951,3,3,1
astar_chpot,81505729,189837356,4254,3405,4425,10,2852,4.902921,25131035,1712,4,1,0
astar_bidir_chpot,81505729,189837356,4254,3405,4425,10,2852,9.465505,25131035,1712,4,1,0
core_ch,81505729,189837356,4254,3405,4425,10,2852,444.86152,25106206,1712,4,1,0
core_ch_chpot,81505729,189837356,4254,3405,4425,10,2852,9.907052,25106206,1712,4,1,0
astar_chpot,81505729,189837356,288283,334494,376941,53,174427,332.992283,90548229,3845,3,3,1
astar_bidir_chpot,81505729,189837356,288283,334494,376941,53,174427,3818.3416540000003,90548229,3845,3,3,1
core_ch,81505729,189837356,288283,334494,376941,53,174427,1276.388741,95559311,3845,3,3,1
core_ch_chpot,81505729,189837356,288283,334494,376941,53,174427,106.99475799999999,95343205,3845,3,3,1
astar_chpot,81505729,189837356,23522,23412,28363,212,11866,14.466953,69167293,2913,3,2,1
astar_bidir_chpot,81505729,189837356,23522,23412,28363,212,11866,36.657379,69167293,2913,3,2,1
core_ch,81505729,189837356,23522,23412,28363,212,11866,776.548075,70667211,2913,3,2,1
core_ch_chpot,81505729,189837356,23522,23412,28363,212,11866,14.410616,70667211,2913,3,2,1
astar_chpot,81505729,189837356,929,625,937,0,625,22.863956,7496408,625,0,0,0
