algo,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_short_pauses,path_number_long_pauses
dijkstra,12547874,29477659,9624358,10553432,11515214,2331,5068578,12369.973575,8754886,837,0,0,0
astar_chpot,12547874,29477659,979,837,981,0,837,12.170538,8754886,837,0,0,0
dijkstra_bidir_chpot,12547874,29477659,9624358,10553432,11515214,2331,5068578,1432.139804,8754886,837,0,0,0
astar_bidir_chpot,12547874,29477659,979,837,981,0,837,22.273362000000002,8754886,837,0,0,0
core_ch,12547874,29477659,979,837,981,0,837,63.68222599999999,8754886,837,0,0,0
core_ch_chpot,12547874,29477659,979,837,981,0,837,18.622794000000003,8754886,837,0,0,0
dijkstra,12547874,29477659,20852973,24340346,26079818,4295,6148447,31737.381688999998,15122191,1218,0,0,0
astar_chpot,12547874,29477659,1417,1218,1418,0,1218,3.282946,15122191,1218,0,0,0
dijkstra_bidir_chpot,12547874,29477659,20852973,24340346,26079818,4295,6148447,3987.6678349999997,15122191,1218,0,0,0
astar_bidir_chpot,12547874,29477659,1417,1218,1418,0,1218,5.974312,15122191,1218,0,0,0
core_ch,12547874,29477659,1417,1218,1418,0,1218,82.542009,15122191,1218,0,0,0
core_ch_chpot,12547874,29477659,1417,1218,1418,0,1218,6.348127,15122191,1218,0,0,0
dijkstra,12547874,29477659,46105913,60293859,64940242,9083,10707143,89171.34776599999,22239353,1933,6,1,0
astar_chpot,12547874,29477659,5015,4134,5138,20,4089,6.263229,22239353,1933,6,1,0
dijkstra_bidir_chpot,12547874,29477659,46105913,60293859,64940242,9083,10707143,42328.479233000005,22239353,1933,6,1,0
astar_bidir_chpot,12547874,29477659,5015,4134,5138,20,4089,11.117716,22239353,1933,6,1,0
core_ch,12547874,29477659,5015,4134,5138,20,4089,288.39246099999997,22239353,1933,6,1,0
core_ch_chpot,12547874,29477659,5015,4134,5138,20,4089,6.636525,22239353,1933,6,1,0
dijkstra,12547874,29477659,15698893,17636322,19139369,3686,5734772,24310.142655,11762808,1212,0,0,0
astar_chpot,12547874,29477659,1647,1219,1680,9,1219,3.1176530000000002,11762808,1212,0,0,0
dijkstra_bidir_chpot,12547874,29477659,15698893,17636322,19139369,3686,5734772,3742.9163590000003,11762808,1212,0,0,0
astar_bidir_chpot,12547874,29477659,1647,1219,1680,9,1219,4.388051,11762808,1212,0,0,0
core_ch,12547874,29477659,1647,1219,1680,9,1219,117.30874700000001,11762808,1212,0,0,0
core_ch_chpot,12547874,29477659,1647,1219,1680,9,1219,6.003291,11762808,1212,0,0,0
dijkstra,12547874,29477659,739550,731873,789681,256,731686,572.6467170000001,6503035,496,0,0,0
astar_chpot,12547874,29477659,620,496,620,0,496,1.096753,6503035,496,0,0,0
dijkstra_bidir_chpot,12547874,29477659,739550,731873,789681,256,731686,226.35434500000002,6503035,496,0,0,0
astar_bidir_chpot,12547874,29477659,620,496,620,0,496,2.668774,6503035,496,0,0,0
core_ch,12547874,29477659,620,496,620,0,496,26.985924,6503035,496,0,0,0
core_ch_chpot,12547874,29477659,620,496,620,0,496,2.798593,6503035,496,0,0,0
dijkstra,12547874,29477659,11710481,12498667,13402630,2187,4394676,16334.681030999998,10409399,1074,0,0,0
astar_chpot,12547874,29477659,1257,1074,1269,4,1074,2.39186,10409399,1074,0,0,0
dijkstra_bidir_chpot,12547874,29477659,11710481,12498667,13402630,2187,4394676,3768.3343649999997,10409399,1074,0,0,0
astar_bidir_chpot,12547874,29477659,1257,1074,1269,4,1074,2.862003,10409399,1074,0,0,0
core_ch,12547874,29477659,1257,1074,1269,4,1074,118.646165,10409399,1074,0,0,0
core_ch_chpot,12547874,29477659,1257,1074,1269,4,1074,5.13601,10409399,1074,0,0,0
dijkstra,12547874,29477659,56501090,72275422,77800031,12211,11649741,112535.516397,25991730,2213,2,1,0
astar_chpot,12547874,29477659,4727,3915,4829,5,3432,5.174284,25991730,2213,2,1,0
dijkstra_bidir_chpot,12547874,29477659,56501090,72275422,77800031,12211,11649741,52867.102513,25991730,2213,2,1,0
astar_bidir_chpot,12547874,29477659,4727,3915,4829,5,3432,8.647909,25991730,2213,2,1,0
core_ch,12547874,29477659,4727,3915,4829,5,3432,356.8007,25991730,2213,2,1,0
core_ch_chpot,12547874,29477659,4727,3915,4829,5,3432,7.300046,25991730,2213,2,1,0
dijkstra,12547874,29477659,2061436,2052087,2277894,730,1642476,2286.218207,5756366,559,0,0,0
astar_chpot,12547874,29477659,684,559,701,2,559,0.909706,5756366,559,0,0,0
dijkstra_bidir_chpot,12547874,29477659,2061436,2052087,2277894,730,1642476,632.95743,5756366,559,0,0,0
astar_bidir_chpot,12547874,29477659,684,559,701,2,559,1.450796,5756366,559,0,0,0
core_ch,12547874,29477659,684,559,701,2,559,41.839211,5756366,559,0,0,0
core_ch_chpot,12547874,29477659,684,559,701,2,559,2.437313,5756366,559,0,0,0
dijkstra,12547874,29477659,5447691,5715497,6188729,747,2614978,7130.512523,9607271,981,0,0,0
astar_chpot,12547874,29477659,1283,981,1318,2,981,1.771199,9607271,981,0,0,0
