algo,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_pauses
astar_chpot,81505729,189837356,15797,15254,17938,134,4854,108.529595,40012075,2294,5,2
astar_chpot,81505729,189837356,433030,409267,463386,32,337136,400.552661,41542978,2232,3,2
astar_chpot,81505729,189837356,2069,1587,2126,4,1478,44.169031999999994,24927380,1154,4,1
astar_chpot,81505729,189837356,11048,9047,11424,3,8605,9.612762,28832234,2616,3,1
astar_chpot,81505729,189837356,1455,1206,1458,0,1206,2.545538,16111539,1206,0,0
astar_chpot,81505729,189837356,258024584,352088441,378311023,43910,63218760,563760.55605,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,15698,13427,16206,51,11791,10.58901,50762062,3542,6,2
astar_chpot,81505729,189837356,312955,312955,342875,0,312955,178.07238,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,45858732,67109324,73934705,22225,11927570,108241.736808,92096552,5529,15,5
astar_chpot,81505729,189837356,289445016,384861011,413360709,55487,64053186,645473.6675,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,301175,301175,339370,0,301175,189.398088,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,250574503,302582624,323677668,30057,63218760,443698.26445400005,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,293364,279251,318752,5,279216,208.748345,33364452,1159,1,1
astar_chpot,81505729,189837356,610977,619306,690515,64,472605,495.19428,30009277,1017,3,2
astar_chpot,81505729,189837356,2955405,2963443,3268616,10,2026663,2619.063537,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,16683,13322,17218,20,12980,331.7936,29229655,2006,4,1
astar_chpot,81505729,189837356,18086,15782,19199,52,11242,10.721297,41535532,2711,4,2
astar_chpot,81505729,189837356,251849631,326295914,350698186,42007,63218760,472700.83773699997,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,5191,4290,5394,25,3425,4.195507999999999,22380600,1904,5,1
astar_chpot,81505729,189837356,17456875,18427438,19319118,529,6074238,16522.144895,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,3506590,3557135,3922027,10,2039938,3144.101516,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,19109924,20008003,20968989,637,6074238,23595.271149,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,239477955,312181668,335256715,32189,63218760,456954.24965,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,44932825,61472524,66703289,13125,9362353,93340.477392,96713426,5880,14,5
astar_chpot,81505729,189837356,3050,2514,3209,2,2035,3.400144,30432418,1941,2,1
astar_chpot,81505729,189837356,1050,577,1060,0,577,4.414572000000001,8268441,574,0,0
astar_chpot,81505729,189837356,22834,18799,23746,28,18758,15.237271999999999,30503926,2424,1,1
astar_chpot,81505729,189837356,30714353,39685784,43265593,5608,8651471,53669.171815,70224412,3258,14,4
astar_chpot,81505729,189837356,839192,843553,971532,482,612010,815.005592,73506058,4814,8,4
astar_chpot,81505729,189837356,353334,334933,383774,271,313615,262.120504,73849273,4005,7,4
astar_chpot,81505729,189837356,3205153,3300344,3701436,44,2119792,2415.7616759999996,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,4349,3786,4432,16,2929,302.888776,23790373,1755,1,1
