algo,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_pauses
astar_chpot,12547874,29477659,1950,1444,1964,0,1444,18.343137,13316284,1444,0,0
astar_chpot,12547874,29477659,1819,1300,1893,0,1300,3.226791,11348384,1300,0,0
astar_chpot,12547874,29477659,3773,3249,3849,12,2650,3.378488,26103585,1914,3,1
astar_chpot,12547874,29477659,1399,1101,1407,0,1101,1.78285,10131199,1101,0,0
astar_chpot,12547874,29477659,1064,812,1069,0,812,1.603826,7289665,812,0,0
astar_chpot,12547874,29477659,1643,1293,1658,0,1293,1.931447,12608300,1293,0,0
astar_chpot,12547874,29477659,6123,4810,6241,7,4199,4.671825999999999,20431644,1817,6,1
astar_chpot,12547874,29477659,56264270,72352270,77683853,11055,12302210,105322.726641,NaN,NaN,NaN,NaN
astar_chpot,12547874,29477659,415,288,419,3,288,0.452521,2761822,288,4,0
astar_chpot,12547874,29477659,1502,957,1513,0,957,2.181165,6824687,957,0,0
astar_chpot,12547874,29477659,1517,1290,1521,0,1290,1.34985,11814257,1290,0,0
astar_chpot,12547874,29477659,8671,7192,8927,10,7115,5.922964,25372165,1878,2,1
astar_chpot,12547874,29477659,1615,1389,1616,0,1389,1.9966570000000001,15237823,1389,0,0
astar_chpot,12547874,29477659,1252,980,1267,1,980,1.791225,9954607,980,0,0
astar_chpot,12547874,29477659,1447,1177,1449,0,1177,1.5710920000000002,9751027,1177,0,0
astar_chpot,12547874,29477659,1076,803,1086,0,803,1.0582099999999999,10386177,803,0,0
astar_chpot,12547874,29477659,4,4,3,0,4,0.417519,NaN,NaN,NaN,NaN
astar_chpot,12547874,29477659,727,420,743,0,420,1.411335,3656175,420,0,0
astar_chpot,12547874,29477659,3911,3295,3985,11,2865,3.512433,27949559,1962,3,1
astar_chpot,12547874,29477659,889,778,895,5,778,1.152142,6944229,778,0,0
astar_chpot,12547874,29477659,1351,1033,1360,1,1033,1.3297210000000002,10224199,1033,0,0
astar_chpot,12547874,29477659,5,5,4,0,5,0.39440200000000003,NaN,NaN,NaN,NaN
astar_chpot,12547874,29477659,718,560,724,1,560,1.066266,5150109,560,0,0
astar_chpot,12547874,29477659,1524,1265,1541,5,1265,1.510611,12513910,1253,0,0
