rel_core_size,abs_core_size,construction_time_ms,time_ms
0.05,4075286,268684.688,9.348725
0.05,4075286,268684.688,11.024974
0.05,4075286,268684.688,7.981814
0.05,4075286,268684.688,8.413574
0.05,4075286,268684.688,7.07009
0.05,4075286,268684.688,7.713304
0.05,4075286,268684.688,14.062313
0.05,4075286,268684.688,9.870263000000001
0.05,4075286,268684.688,4.744232
0.05,4075286,268684.688,5.1390020000000005
0.05,4075286,268684.688,2.04266
0.05,4075286,268684.688,4.624509
0.05,4075286,268684.688,4.461724
0.05,4075286,268684.688,5.395955
0.05,4075286,268684.688,6.958613
0.05,4075286,268684.688,5.597918
0.05,4075286,268684.688,3.5749839999999997
0.05,4075286,268684.688,4.9356089999999995
0.05,4075286,268684.688,3.839738
0.05,4075286,268684.688,7.049082
0.05,4075286,268684.688,6.323612
0.05,4075286,268684.688,4.565446
0.05,4075286,268684.688,3.548509
0.05,4075286,268684.688,4.193531999999999
0.05,4075286,268684.688,7.186375
0.05,4075286,268684.688,4.415907
0.05,4075286,268684.688,4.8376410000000005
0.05,4075286,268684.688,4.47663
0.05,4075286,268684.688,5.699357
0.05,4075286,268684.688,5.134755999999999
0.05,4075286,268684.688,4.19382
0.05,4075286,268684.688,5.292857
0.05,4075286,268684.688,4.295448
0.05,4075286,268684.688,4.275982
0.05,4075286,268684.688,4.123047000000001
0.05,4075286,268684.688,4.5805050000000005
0.05,4075286,268684.688,5.062138
0.05,4075286,268684.688,3.693914
0.05,4075286,268684.688,3.076754
0.05,4075286,268684.688,3.093963
0.05,4075286,268684.688,5.649027
0.05,4075286,268684.688,5.736437
0.05,4075286,268684.688,4.399095
0.05,4075286,268684.688,6.083806
0.05,4075286,268684.688,3.5419840000000002
0.05,4075286,268684.688,3.390774
0.05,4075286,268684.688,3.433376
0.05,4075286,268684.688,4.484935
0.05,4075286,268684.688,4.07575
0.05,4075286,268684.688,4.514675
0.05,4075286,268684.688,2.9514150000000003
0.05,4075286,268684.688,3.267143
0.05,4075286,268684.688,3.620276
0.05,4075286,268684.688,3.073931
0.05,4075286,268684.688,5.353048
0.05,4075286,268684.688,3.451474
0.05,4075286,268684.688,2.840014
0.05,4075286,268684.688,3.7450449999999997
0.05,4075286,268684.688,3.371688
0.05,4075286,268684.688,2.477758
0.05,4075286,268684.688,5.230855
0.05,4075286,268684.688,3.595685
0.05,4075286,268684.688,4.166682
0.05,4075286,268684.688,4.117449
0.05,4075286,268684.688,3.315866
0.05,4075286,268684.688,3.990225
0.05,4075286,268684.688,3.700639
0.05,4075286,268684.688,4.39095
0.05,4075286,268684.688,3.030037
0.05,4075286,268684.688,2.329207
0.05,4075286,268684.688,6.1302010000000005
0.05,4075286,268684.688,2.788553
0.05,4075286,268684.688,4.352707
0.05,4075286,268684.688,4.422071
0.05,4075286,268684.688,3.796498
0.05,4075286,268684.688,2.673634
0.05,4075286,268684.688,3.824341
0.05,4075286,268684.688,3.848655
0.05,4075286,268684.688,5.060147
0.05,4075286,268684.688,2.977718
0.05,4075286,268684.688,2.33117
0.05,4075286,268684.688,3.842217
0.05,4075286,268684.688,4.887905
0.05,4075286,268684.688,5.582698
0.05,4075286,268684.688,3.6692080000000002
0.05,4075286,268684.688,2.766549
0.05,4075286,268684.688,3.098329
0.05,4075286,268684.688,4.960166999999999
0.05,4075286,268684.688,3.7725419999999996
0.05,4075286,268684.688,2.45987
0.05,4075286,268684.688,3.494399
0.05,4075286,268684.688,3.128515
0.05,4075286,268684.688,3.231672
0.05,4075286,268684.688,3.093183
0.05,4075286,268684.688,3.201331
0.05,4075286,268684.688,3.304052
0.05,4075286,268684.688,3.137774
0.05,4075286,268684.688,3.353984
0.05,4075286,268684.688,2.331151
0.05,4075286,268684.688,4.0069930000000005
0.05,4075286,268684.688,3.404635
0.05,4075286,268684.688,2.9601409999999997
0.05,4075286,268684.688,3.4728179999999997
0.05,4075286,268684.688,3.386529
0.05,4075286,268684.688,2.800625
0.05,4075286,268684.688,3.538239
0.05,4075286,268684.688,2.25191
0.05,4075286,268684.688,4.595476000000001
0.05,4075286,268684.688,2.283944
0.05,4075286,268684.688,3.325504
0.05,4075286,268684.688,3.553388
0.05,4075286,268684.688,3.280576
0.05,4075286,268684.688,2.666108
0.05,4075286,268684.688,2.856982
0.05,4075286,268684.688,4.080979999999999
0.05,4075286,268684.688,2.595748
0.05,4075286,268684.688,3.954033
0.05,4075286,268684.688,3.564563
0.05,4075286,268684.688,2.700075
0.05,4075286,268684.688,3.2882290000000003
0.05,4075286,268684.688,4.406377
0.05,4075286,268684.688,2.970983
0.05,4075286,268684.688,3.1997359999999997
0.05,4075286,268684.688,4.199307999999999
0.05,4075286,268684.688,2.8882869999999996
