parking_set_type,parking_set_size,time_ms,path_distance
ev,56011,20.832079,62290188
ev,56011,19.851046,72947759
ev,56011,29.705458,NaN
ev,56011,14.252519,103911327
ev,56011,7.347595999999999,25887615
ev,56011,7.728847,NaN
ev,56011,7.289315,100744401
ev,56011,8.055781999999999,127211308
ev,56011,5.896475,80724025
ev,56011,6.753114,NaN
ev,56011,9.05345,NaN
ev,56011,8.440537999999998,93084851
ev,56011,5.607532999999999,NaN
ev,56011,9.439586,70020304
ev,56011,8.573567,NaN
ev,56011,7.882630999999999,88736845
ev,56011,8.939815,NaN
ev,56011,7.038086,9378476
ev,56011,7.244546,109433167
ev,56011,2.5287590000000004,NaN
ev,56011,5.519823,41311154
ev,56011,4.059321000000001,9826630
ev,56011,6.0637929999999995,76992363
ev,56011,3.9649419999999997,41370196
ev,56011,6.276545,59121977
ev,56011,5.451839,80377931
ev,56011,4.489477000000001,50182542
ev,56011,4.53064,47240111
ev,56011,6.551767,NaN
ev,56011,6.331467,38101701
ev,56011,3.255268,NaN
ev,56011,6.103371,192091247
ev,56011,5.617459,125079155
ev,56011,4.928172,63063870
ev,56011,3.58865,57320496
ev,56011,4.736535,40688665
ev,56011,7.986085,NaN
ev,56011,2.683468,9188544
ev,56011,4.831455,55167931
ev,56011,5.9816970000000005,184060017
ev,56011,3.765712,20338986
ev,56011,3.816217,NaN
ev,56011,5.545243,NaN
ev,56011,7.900094999999999,86759698
ev,56011,3.384439,NaN
ev,56011,7.190123,NaN
ev,56011,8.191469,NaN
ev,56011,5.816522,NaN
ev,56011,9.479125,NaN
ev,56011,4.065718,72851795
ev,56011,6.339779,NaN
ev,56011,4.109631,124079929
ev,56011,7.049589,NaN
ev,56011,7.875303000000001,97874128
ev,56011,4.20195,55594434
ev,56011,2.572424,37764961
ev,56011,4.362804,46932157
ev,56011,3.168943,40807193
ev,56011,6.500070999999999,NaN
ev,56011,4.591127,27068745
ev,56011,3.305231,6701211
ev,56011,2.4029849999999997,NaN
ev,56011,6.94623,NaN
ev,56011,4.2567330000000005,NaN
ev,56011,7.153738,NaN
ev,56011,3.614417,121586986
ev,56011,3.6797850000000003,NaN
ev,56011,3.394251,15137303
ev,56011,10.673132,NaN
ev,56011,6.51438,NaN
ev,56011,7.14342,NaN
ev,56011,3.688182,33282492
ev,56011,3.9560690000000003,68535077
ev,56011,6.351899,142623541
ev,56011,2.8366089999999997,42470242
ev,56011,2.074297,NaN
ev,56011,6.567067000000001,NaN
ev,56011,8.21902,NaN
ev,56011,6.063781,83983188
ev,56011,7.0894520000000005,92762500
ev,56011,6.4856,124791863
ev,56011,5.43182,NaN
ev,56011,8.859026,NaN
ev,56011,4.766291,137574292
ev,56011,4.362279999999999,74965962
ev,56011,3.171976,11169302
ev,56011,3.7587070000000002,21421713
ev,56011,6.736581999999999,NaN
ev,56011,2.843074,110756493
ev,56011,4.4646729999999994,NaN
ev,56011,5.744752,NaN
ev,56011,2.733175,53544788
ev,56011,6.100582999999999,145887725
ev,56011,4.494781,NaN
ev,56011,5.348643,66925309
ev,56011,4.185346,NaN
ev,56011,4.87827,109984372
ev,56011,3.722137,NaN
ev,56011,4.126148,76507598
ev,56011,3.497035,21477031
ev,56011,7.558878,NaN
ev,56011,7.909704,NaN
ev,56011,7.819631,NaN
ev,56011,4.448868,NaN
ev,56011,6.279662,100959602
ev,56011,3.120758,49690165
ev,56011,3.400308,119025459
ev,56011,3.2134709999999997,NaN
ev,56011,4.605328,43065575
ev,56011,4.503343,22046663
ev,56011,7.649149,NaN
ev,56011,4.042193999999999,25681684
ev,56011,6.629957,155898787
ev,56011,6.056449000000001,NaN
ev,56011,3.267061,77867471
ev,56011,5.499765,NaN
ev,56011,7.295482,132340756
ev,56011,6.966619000000001,NaN
ev,56011,6.881443,107219868
ev,56011,6.191025,NaN
ev,56011,4.035584,49369068
ev,56011,6.504662,NaN
ev,56011,5.352189999999999,NaN
ev,56011,6.424145,NaN
ev,56011,4.033449,22229507
ev,56011,2.797365,118400107
ev,56011,3.885674,16063080
ev,56011,4.385437,79151672
ev,56011,1.824725,NaN
ev,56011,3.4689360000000002,NaN
ev,56011,2.750443,15546484
ev,56011,4.157119,NaN
ev,56011,5.927837,45003768
ev,56011,5.546707,126352027
ev,56011,6.44682,NaN
ev,56011,4.230689,NaN
ev,56011,4.395553,63093941
ev,56011,2.9428549999999998,31822709
ev,56011,5.191211,NaN
ev,56011,5.589111,NaN
ev,56011,3.535713,87271382
ev,56011,6.012384,NaN
ev,56011,7.879550000000001,NaN
ev,56011,6.203538,87445400
ev,56011,3.5801190000000003,41952667
ev,56011,3.765085,38095535
ev,56011,6.900753,NaN
ev,56011,3.55011,38948827
ev,56011,3.5464149999999997,66931723
ev,56011,8.280752000000001,NaN
ev,56011,5.2229399999999995,NaN
ev,56011,3.7477869999999998,78618629
ev,56011,2.936587,27786958
ev,56011,6.153949,NaN
ev,56011,2.9278009999999997,26574568
ev,56011,3.014932,NaN
ev,56011,3.316725,76674489
ev,56011,3.650256,42365147
ev,56011,3.524663,53882054
ev,56011,3.03041,26523716
ev,56011,4.012096,NaN
ev,56011,6.549683,158718534
ev,56011,3.1212459999999997,24145570
ev,56011,2.9682839999999997,29385234
ev,56011,3.365603,26350715
ev,56011,6.813237,NaN
ev,56011,2.407264,12614948
ev,56011,3.681866,82713589
ev,56011,4.652046,NaN
ev,56011,2.513574,10007540
ev,56011,4.042478,77462645
ev,56011,6.668782,NaN
ev,56011,3.149349,74819324
ev,56011,1.779045,NaN
ev,56011,4.130092,NaN
ev,56011,2.9601990000000002,NaN
ev,56011,7.00545,NaN
ev,56011,6.082723,121058914
ev,56011,4.7704059999999995,126611682
ev,56011,2.856177,22611963
ev,56011,1.82434,31125013
ev,56011,4.388524,119013114
ev,56011,3.201686,43528396
ev,56011,1.466468,NaN
ev,56011,2.5505910000000003,NaN
ev,56011,4.029490999999999,106787233
ev,56011,5.112737,NaN
ev,56011,4.73234,81521440
ev,56011,3.517197,53214429
ev,56011,2.6059859999999997,NaN
ev,56011,4.280906,86924709
ev,56011,6.167343,168034988
ev,56011,6.20526,NaN
ev,56011,4.585082,86014266
ev,56011,5.852613000000001,NaN
ev,56011,5.6359,117008539
ev,56011,3.689084,34152649
ev,56011,7.17798,NaN
ev,56011,5.006334000000001,186418344
ev,56011,2.817766,89577721
ev,56011,2.712841,43394811
ev,56011,3.727089,NaN
ev,56011,4.590394,92114102
ev,56011,5.4187009999999995,101634923
ev,56011,3.671821,73567455
ev,56011,3.837164,67098715
ev,56011,2.135055,NaN
ev,56011,4.155093,76366745
ev,56011,2.852767,22172615
ev,56011,3.7552250000000003,91061392
ev,56011,5.4527849999999995,NaN
ev,56011,5.004317,83415856
ev,56011,7.1418740000000005,NaN
ev,56011,2.7730799999999998,70314011
ev,56011,2.781369,57811431
ev,56011,3.4491460000000003,32514974
ev,56011,3.8588080000000002,23814326
ev,56011,2.2653339999999997,NaN
ev,56011,4.5541160000000005,104112257
ev,56011,5.69755,95785367
ev,56011,4.611788000000001,NaN
ev,56011,3.6608840000000002,21204029
ev,56011,3.2333570000000003,52931958
ev,56011,7.529568,NaN
ev,56011,5.982488999999999,NaN
ev,56011,5.110783,NaN
ev,56011,4.518562999999999,NaN
ev,56011,4.070876,80316779
ev,56011,4.531035,172464076
ev,56011,6.16029,NaN
ev,56011,5.21559,80607259
ev,56011,2.850435,53754689
ev,56011,3.8114120000000002,106441853
ev,56011,4.661384,NaN
ev,56011,2.717437,15394765
ev,56011,6.963094000000001,NaN
ev,56011,4.7648459999999995,NaN
ev,56011,4.098982,80980751
ev,56011,8.171471,NaN
ev,56011,2.750464,112508525
ev,56011,3.965677,46719450
ev,56011,3.216855,52311943
ev,56011,6.923925,NaN
ev,56011,1.8191240000000002,NaN
ev,56011,4.188521,NaN
ev,56011,2.876563,55294890
ev,56011,2.25647,16085619
ev,56011,3.898644,47075384
ev,56011,2.796683,10292308
ev,56011,2.7165890000000004,38026392
ev,56011,2.0237749999999997,NaN
ev,56011,6.883655,NaN
ev,56011,6.588007,NaN
ev,56011,2.668826,NaN
ev,56011,2.664927,NaN
ev,56011,4.585528,61931038
ev,56011,3.5833369999999998,51125670
ev,56011,2.0683390000000004,NaN
ev,56011,2.352037,56349014
ev,56011,6.497842,NaN
ev,56011,3.010364,104986612
ev,56011,4.865558,169260792
ev,56011,3.147487,44983916
ev,56011,3.1033969999999997,15905328
ev,56011,3.1277980000000003,49851761
ev,56011,3.737774,87389942
ev,56011,8.113891,NaN
ev,56011,4.912808,161548584
ev,56011,3.4282649999999997,67154618
ev,56011,1.99037,32531531
ev,56011,2.760542,47329200
ev,56011,5.705214,NaN
ev,56011,2.8936309999999996,66673844
ev,56011,5.911613,NaN
ev,56011,3.187982,38256799
ev,56011,5.553572,53364158
ev,56011,2.397727,37088549
ev,56011,6.767801,127576080
ev,56011,5.3865240000000005,88835696
ev,56011,4.917772,NaN
ev,56011,2.552431,20615380
ev,56011,4.113529000000001,120091899
ev,56011,6.5481300000000005,NaN
ev,56011,3.6451000000000002,81936066
ev,56011,4.090827,33996170
ev,56011,3.613823,66387493
ev,56011,7.417148999999999,NaN
ev,56011,7.572356,NaN
ev,56011,3.626169,NaN
