algo,dijkstra_rank_exponent,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_short_pauses,path_number_long_pauses
astar_chpot,0,81505729,189837356,3,1,2,0,1,3.690466,0,1,0,0,0
astar_chpot,1,81505729,189837356,4,2,3,0,2,0.50224,2160,2,0,0,0
astar_chpot,2,81505729,189837356,5,2,4,0,2,0.366888,126288,2,0,0,0
astar_chpot,3,81505729,189837356,8,5,7,0,5,0.236212,151200,5,0,0,0
astar_chpot,4,81505729,189837356,12,6,11,0,6,0.774954,439200,6,0,0,0
astar_chpot,5,81505729,189837356,13,7,12,0,7,2.229141,697950,7,0,0,0
astar_chpot,6,81505729,189837356,22,10,21,0,10,1.4135110000000002,843588,10,0,0,0
astar_chpot,7,81505729,189837356,28,15,28,0,15,0.95296,1062900,15,0,0,0
astar_chpot,8,81505729,189837356,59,40,60,0,40,3.053769,1382958,40,0,0,0
astar_chpot,9,81505729,189837356,72,49,72,0,49,1.618528,1601414,49,0,0,0
astar_chpot,10,81505729,189837356,122,91,122,0,91,1.65758,1884741,91,0,0,0
astar_chpot,11,81505729,189837356,123,83,125,0,83,3.820081,2157696,83,0,0,0
astar_chpot,12,81505729,189837356,95,53,96,0,53,2.501963,2400435,53,0,0,0
astar_chpot,13,81505729,189837356,200,129,200,0,129,2.365703,2669163,129,0,0,0
astar_chpot,14,81505729,189837356,209,153,209,0,153,5.058497,3034277,153,0,0,0
astar_chpot,15,81505729,189837356,291,220,292,0,220,2.292904,3645822,220,0,0,0
astar_chpot,16,81505729,189837356,379,260,380,0,260,3.1740000000000004,4545479,260,0,0,0
astar_chpot,17,81505729,189837356,368,233,371,0,233,6.801014,5745528,233,0,0,0
astar_chpot,18,81505729,189837356,591,513,592,0,513,9.8144,7175709,513,0,0,0
astar_chpot,19,81505729,189837356,759,633,761,0,633,6.03073,9001053,633,0,0,0
astar_chpot,20,81505729,189837356,925,784,927,0,784,8.269645,13543884,784,0,0,0
astar_chpot,21,81505729,189837356,6645,5684,7027,2,5339,21.874127,24289184,1405,2,1,0
astar_chpot,22,81505729,189837356,303643,290572,326450,10,290391,293.963295,32981224,1913,2,1,0
astar_chpot,23,81505729,189837356,850149,1200048,1312729,77,515316,1028.192458,83550012,2485,4,2,1
astar_chpot,24,81505729,189837356,1632155,2105442,2338455,222,1104565,2005.49687,90792872,3090,7,3,1
astar_chpot,25,81505729,189837356,2495371,2570818,2830145,204,1552196,2957.680522,105573137,4136,8,4,1
astar_chpot,0,81505729,189837356,2,1,1,0,1,1.194369,0,1,0,0,0
astar_chpot,1,81505729,189837356,4,2,3,0,2,0.431157,3480,2,0,0,0
astar_chpot,2,81505729,189837356,6,4,5,0,4,0.438882,8400,4,0,0,0
astar_chpot,3,81505729,189837356,10,5,9,0,5,0.43776699999999996,15720,5,0,0,0
astar_chpot,4,81505729,189837356,14,7,13,0,7,0.454158,27120,7,0,0,0
astar_chpot,5,81505729,189837356,18,10,17,0,10,0.459403,44160,10,0,0,0
astar_chpot,6,81505729,189837356,28,14,27,0,14,0.595645,66480,14,0,0,0
astar_chpot,7,81505729,189837356,24,13,23,0,13,0.749234,95931,13,0,0,0
astar_chpot,8,81505729,189837356,56,35,55,0,35,0.976165,172212,35,0,0,0
astar_chpot,9,81505729,189837356,70,45,70,0,45,0.49955400000000005,241594,45,0,0,0
astar_chpot,10,81505729,189837356,76,50,76,0,50,1.021783,300072,50,0,0,0
astar_chpot,11,81505729,189837356,102,62,103,0,62,0.504464,381479,62,0,0,0
astar_chpot,12,81505729,189837356,154,104,156,0,104,0.657999,511621,104,0,0,0
astar_chpot,13,81505729,189837356,138,98,139,0,98,0.795679,642471,98,0,0,0
astar_chpot,14,81505729,189837356,224,134,224,0,134,0.594038,821983,134,0,0,0
astar_chpot,15,81505729,189837356,223,147,228,0,147,0.750627,1062923,147,0,0,0
astar_chpot,16,81505729,189837356,299,173,301,0,173,1.5138289999999999,1367029,173,0,0,0
