algo,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_short_pauses,path_number_long_pauses
astar_chpot,12547874,29477659,1997,1291,2034,0,1291,13.633203,7218460,1291,0,0,0
astar_chpot,12547874,29477659,1252,938,1262,1,938,2.45809,9624999,938,0,0,0
astar_chpot,12547874,29477659,6812,5377,6975,2,5011,5.235182,19744356,1414,1,1,0
astar_chpot,12547874,29477659,936,786,939,0,786,2.3109290000000002,7682775,779,0,0,0
astar_chpot,12547874,29477659,698,453,709,1,453,1.574553,4447069,453,0,0,0
astar_chpot,12547874,29477659,1367,1001,1373,0,1001,1.4916790000000002,10272026,1001,0,0,0
astar_chpot,12547874,29477659,2811,2496,2872,8,1917,2.362085,21791632,1533,2,1,0
astar_chpot,12547874,29477659,358,252,360,0,252,0.967155,2572983,252,0,0,0
astar_chpot,12547874,29477659,3767,3152,3830,17,3082,3.2129709999999996,30225007,2240,2,1,0
astar_chpot,12547874,29477659,1237,1029,1256,8,1029,1.482686,10091477,1029,0,0,0
astar_chpot,12547874,29477659,2750,2355,2844,8,1795,2.050493,22991680,1784,4,1,0
astar_chpot,12547874,29477659,1817,1484,1830,4,1484,1.862026,14208478,1484,0,0,0
astar_chpot,12547874,29477659,1137,912,1163,2,912,1.134166,9503868,912,0,0,0
astar_chpot,12547874,29477659,3956,3356,4052,4,2528,2.617538,22817731,1857,1,1,0
astar_chpot,12547874,29477659,1450,1182,1473,8,1182,1.411414,11499594,1175,0,0,0
astar_chpot,12547874,29477659,753,550,760,0,550,1.031871,4614953,550,0,0,0
astar_chpot,12547874,29477659,2127,1705,2165,1,1705,2.090423,16053407,1705,0,0,0
astar_chpot,12547874,29477659,1843,1582,1859,3,1582,1.624212,14104971,1582,0,0,0
astar_chpot,12547874,29477659,1758,1372,1788,1,1372,1.631218,13559193,1372,0,0,0
astar_chpot,12547874,29477659,1043,826,1045,0,826,1.0232869999999998,8848221,826,0,0,0
astar_chpot,12547874,29477659,2481,2018,2495,1,2018,2.714451,15880946,2018,0,0,0
astar_chpot,12547874,29477659,927,744,926,0,744,1.3248579999999999,6919949,744,0,0,0
