algo,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_pauses
astar_chpot,81505729,189837356,353009,345420,393366,468,289475,415.374243,56095919,3659,7,3
astar_chpot,81505729,189837356,2070,1498,2077,0,1498,2.5649599999999997,11437731,1498,0,0
astar_chpot,81505729,189837356,2653976,2590827,2907524,423,2327061,2806.369057,88713197,4550,22,5
astar_chpot,81505729,189837356,21006106,22060289,23115808,719,6070952,24476.236867,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,89616,90749,99130,9,55342,45.894631,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,2231,1878,2267,11,1705,3.352599,21190764,1679,5,1
astar_chpot,81505729,189837356,484869,484869,529292,0,484869,285.42325800000003,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,11840,9756,12322,3,9345,20.028992,20493937,1178,2,1
astar_chpot,81505729,189837356,320929,320929,331269,0,320929,174.697976,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,440872,427733,479659,262,415255,336.103527,70953580,3931,7,4
astar_chpot,81505729,189837356,1200726,1168776,1305316,482,947385,1151.347666,88757012,5166,7,5
astar_chpot,81505729,189837356,252522254,326255665,350385661,33482,63183241,466234.890961,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,1698653,1718908,1935883,159,1365555,1591.142238,78506780,3770,14,4
astar_chpot,81505729,189837356,1757849,1717943,1895557,410,1025956,1639.702215,126069762,7465,12,7
astar_chpot,81505729,189837356,3150406,3849314,4355766,1809,1086606,4600.204438000001,62320674,4318,8,3
astar_chpot,81505729,189837356,280035,280035,323799,0,280035,150.572558,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,273341732,353881884,379474633,42277,63189610,494261.207521,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,1463,1208,1477,1,1208,1.732176,13223213,1208,0,0
astar_chpot,81505729,189837356,220490,220490,250982,0,220490,128.173465,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,3505059,3559492,3923440,10,1954894,2985.0883599999997,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,21021,21188,27208,120,11800,240.60204,49477365,3440,5,2
astar_chpot,81505729,189837356,3209213,3541388,3957688,419,1938217,3537.050547,98154947,4924,14,5
astar_chpot,81505729,189837356,6263609,6433038,6835775,522,2758496,4994.615125,151952916,8942,23,9
astar_chpot,81505729,189837356,21889448,24065045,25190633,437,6070952,23566.589196999998,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,1708,1012,1726,0,1012,2.611506,9133049,1012,0,0
astar_chpot,81505729,189837356,221851,205176,240298,19,189414,162.553684,57215519,4307,6,3
astar_chpot,81505729,189837356,606211,606211,679982,0,606211,413.13506700000005,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,39103872,59383160,65329155,15994,8191750,92142.045848,93612687,4808,10,5
astar_chpot,81505729,189837356,44601,38335,47154,269,25597,27.681112000000002,41002177,2927,10,2
astar_chpot,81505729,189837356,9105766,9859755,10990032,2551,5283911,11672.517108999999,72013141,5107,7,4
astar_chpot,81505729,189837356,6984863,7442820,7885774,539,3274514,5551.205693,182711024,11042,25,11
astar_chpot,81505729,189837356,1275,661,1295,0,661,1.579962,10920792,661,0,0
astar_chpot,81505729,189837356,292944350,395913969,425471174,51769,63936991,634372.193494,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,7449831,9199935,10041196,2521,3247930,9263.624483,65675442,3594,7,4
astar_chpot,81505729,189837356,7529951,9569759,10730675,2721,2462183,11325.566113,60104857,3141,10,3
astar_chpot,81505729,189837356,11748,8981,12033,9,8902,7.5751159999999995,23045374,1674,2,1
astar_chpot,81505729,189837356,21117326,22339079,23412199,443,6070952,22178.570043,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,25905,25905,28050,0,25905,13.679423,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,3782594,3931450,4282350,376,1677509,3394.901731,94662872,4891,9,5
astar_chpot,81505729,189837356,242439,219483,258162,435,205221,193.661052,56079011,3566,8,3
astar_chpot,81505729,189837356,6110,4986,6185,9,4898,5.2146609999999995,31612328,2506,1,1
astar_chpot,81505729,189837356,952,772,954,0,772,1.5713979999999999,9264708,772,0,0
astar_chpot,81505729,189837356,3330,2847,3390,7,2313,2.619063,21314802,1747,4,1
astar_chpot,81505729,189837356,271814268,354511458,381201647,40991,63183243,524234.763406,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,5468,4433,5584,11,4323,4.211076,27599556,2062,5,1
astar_chpot,81505729,189837356,7711,6245,7944,27,5245,5.52798,23127771,1925,5,1
astar_chpot,81505729,189837356,489623,489623,538046,0,489623,314.78256500000003,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,554261,554261,622355,0,554261,416.69446300000004,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,1650,1222,1710,0,1222,7.8772400000000005,13880010,1220,0,0
astar_chpot,81505729,189837356,19827779,20840712,21853058,439,6070952,18626.810696,NaN,NaN,NaN,NaN
