rel_core_size,abs_core_size,time_ms,directory
0.200000,16301145,209046.435000,core_ch_0.2
0.100000,8150572,361713.641000,core_ch_0.1
0.050000,4075286,510487.298000,core_ch_0.05
0.025000,2037643,651913.947000,core_ch_0.025
0.012500,1018821,794153.813000,core_ch_0.0125
0.006250,509410,935856.292000,core_ch_0.00625
0.003125,254705,1077099.596000,core_ch_0.003125
0.001563,127352,1218475.102000,core_ch_0.001563
0.000781,63676,1358970.315000,core_ch_0.000781
0.000391,31838,1499139.797000,core_ch_0.000391
0.000195,15919,1640156.339000,core_ch_0.000195
0.000098,7959,1782166.036000,core_ch_0.000098
0.000049,6796,3518695.506000,core_ch
0.200000,16301145,196511.084000,core_ch_0.2
0.100000,8150572,243660.326000,core_ch_0.1
0.050000,4075286,266404.837000,core_ch_0.05
0.025000,2037643,278988.238000,core_ch_0.025
0.012500,1018821,287643.729000,core_ch_0.0125
0.006250,509410,294315.031000,core_ch_0.00625
0.003125,254705,299999.535000,core_ch_0.003125
0.001563,127352,305045.168000,core_ch_0.001563
0.000781,63676,309117.870000,core_ch_0.000781
0.000391,31838,312442.968000,core_ch_0.000391
0.000195,15919,316396.914000,core_ch_0.000195
0.000098,7959,321295.604000,core_ch_0.000098
0.000049,6796,1920745.399000,core_ch
0.200000,16301145,201779.679000,core_ch_0.2
0.100000,8150572,246980.233000,core_ch_0.1
0.050000,4075286,271754.063000,core_ch_0.05
0.025000,2037643,282803.807000,core_ch_0.025
0.012500,1018821,291326.370000,core_ch_0.0125
0.006250,509410,297961.331000,core_ch_0.00625
0.003125,254705,303730.740000,core_ch_0.003125
0.001563,127352,308879.233000,core_ch_0.001563
0.000781,63676,313153.489000,core_ch_0.000781
0.000391,31838,316720.490000,core_ch_0.000391
0.000195,15919,320739.201000,core_ch_0.000195
0.000098,7959,325624.411000,core_ch_0.000098
0.000049,6796,1926975.701000,core_ch
0.200000,16301145,203047.483000,core_ch_0.2
0.100000,8150572,248100.366000,core_ch_0.1
0.050000,4075286,271230.732000,core_ch_0.05
0.025000,2037643,283875.921000,core_ch_0.025
0.012500,1018821,292283.381000,core_ch_0.0125
0.006250,509410,298890.864000,core_ch_0.00625
0.003125,254705,304633.480000,core_ch_0.003125
0.001563,127352,309758.982000,core_ch_0.001563
0.000781,63676,314029.851000,core_ch_0.000781
0.000391,31838,317603.050000,core_ch_0.000391
0.000195,15919,321649.153000,core_ch_0.000195
0.000098,7959,326563.741000,core_ch_0.000098
0.000049,6796,1925834.257000,core_ch
0.200000,16301145,200404.882000,core_ch_0.2
0.100000,8150572,247736.155000,core_ch_0.1
0.050000,4075286,270621.794000,core_ch_0.05
0.025000,2037643,283235.475000,core_ch_0.025
0.012500,1018821,291881.558000,core_ch_0.0125
0.006250,509410,298510.149000,core_ch_0.00625
0.003125,254705,304171.268000,core_ch_0.003125
0.001563,127352,309184.948000,core_ch_0.001563
0.000781,63676,313247.000000,core_ch_0.000781
0.000391,31838,316552.648000,core_ch_0.000391
0.000195,15919,320505.581000,core_ch_0.000195
0.000098,7959,325405.648000,core_ch_0.000098
0.000049,6796,1924656.124000,core_ch
0.200000,16301145,203176.991000,core_ch_0.2
0.100000,8150572,251524.163000,core_ch_0.1
0.050000,4075286,272565.575000,core_ch_0.05
0.025000,2037643,285379.454000,core_ch_0.025
0.012500,1018821,293863.413000,core_ch_0.0125
0.006250,509410,300466.331000,core_ch_0.00625
0.003125,254705,306233.949000,core_ch_0.003125
0.001563,127352,311383.504000,core_ch_0.001563
0.000781,63676,315641.781000,core_ch_0.000781
0.000391,31838,319197.738000,core_ch_0.000391
0.000195,15919,323275.948000,core_ch_0.000195
0.000098,7959,328187.344000,core_ch_0.000098
0.000049,6796,1929027.358000,core_ch
0.200000,16301145,204200.288000,core_ch_0.2
0.100000,8150572,250602.298000,core_ch_0.1
0.050000,4075286,273551.601000,core_ch_0.05
0.025000,2037643,286259.620000,core_ch_0.025
0.012500,1018821,294719.561000,core_ch_0.0125
0.006250,509410,301301.167000,core_ch_0.00625
0.003125,254705,307055.392000,core_ch_0.003125
0.001563,127352,312174.367000,core_ch_0.001563
0.000781,63676,316447.250000,core_ch_0.000781
0.000391,31838,320019.437000,core_ch_0.000391
0.000195,15919,324078.355000,core_ch_0.000195
0.000098,7959,328988.385000,core_ch_0.000098
0.000049,6796,1930410.124000,core_ch
0.200000,16301145,209150.266000,core_ch_0.2
0.100000,8150572,252200.742000,core_ch_0.1
0.050000,4075286,275085.914000,core_ch_0.05
0.025000,2037643,287872.505000,core_ch_0.025
0.012500,1018821,296354.621000,core_ch_0.0125
0.006250,509410,302917.849000,core_ch_0.00625
0.003125,254705,308618.769000,core_ch_0.003125
0.001563,127352,313717.111000,core_ch_0.001563
0.000781,63676,317989.474000,core_ch_0.000781
0.000391,31838,321573.987000,core_ch_0.000391
0.000195,15919,325627.106000,core_ch_0.000195
0.000098,7959,330527.623000,core_ch_0.000098
0.000049,6796,1929338.900000,core_ch
