parking_set_type,parking_set_size,time_ms,path_distance
ev,56011,34.186204,135360897
ev,56011,9.93878,147895865
ev,56011,6.855719,14457017
ev,56011,31.619038000000003,NaN
ev,56011,8.293508999999998,39098359
ev,56011,5.092597,29588913
ev,56011,9.435836,127186584
ev,56011,5.650012,26009529
ev,56011,9.627671000000001,55701521
ev,56011,7.02215,39544422
ev,56011,9.516286000000001,85398048
ev,56011,8.927062,154708403
ev,56011,5.982496,67025956
ev,56011,7.810747,78959463
ev,56011,9.393221,NaN
ev,56011,7.889003000000001,53002214
ev,56011,8.873153,180230848
ev,56011,5.333638,31039126
ev,56011,8.527827,171104370
ev,56011,7.278763,60297642
ev,56011,4.517233,13338661
ev,56011,3.563316,34354349
ev,56011,7.1180959999999995,93476439
ev,56011,6.954919,88009002
ev,56011,4.769475,46095703
ev,56011,5.796479000000001,95186925
ev,56011,6.141678000000001,103736178
ev,56011,6.904376999999999,107883219
ev,56011,2.633896,NaN
ev,56011,4.015171,NaN
ev,56011,5.2174689999999995,31134244
ev,56011,5.405212000000001,147497647
ev,56011,5.553836,37722909
ev,56011,6.029357,89049111
ev,56011,7.516159,170507589
ev,56011,6.386022,54513959
ev,56011,5.397837,60945907
ev,56011,5.609718,NaN
ev,56011,5.080949,105845053
ev,56011,2.871001,39117568
ev,56011,3.1102410000000003,9672633
ev,56011,7.357772000000001,87063042
ev,56011,5.354453,70374986
ev,56011,5.6841859999999995,73660986
ev,56011,8.999098,NaN
ev,56011,3.508927,71492307
ev,56011,5.656727,81152150
ev,56011,7.408974,NaN
ev,56011,4.300097,111295297
ev,56011,5.219222,55656581
ev,56011,7.491331000000001,NaN
ev,56011,6.435429,33931308
ev,56011,3.140007,NaN
ev,56011,8.17301,NaN
ev,56011,4.796415,135799784
ev,56011,5.772513,75442076
ev,56011,5.44472,41841369
ev,56011,5.470211,76702134
ev,56011,6.751416,NaN
ev,56011,2.635873,12383356
ev,56011,8.575562999999999,67827176
ev,56011,4.023026,NaN
ev,56011,6.627039000000001,NaN
ev,56011,8.154831,NaN
ev,56011,0.420249,NaN
ev,56011,5.795083,38186952
ev,56011,2.862056,108687928
ev,56011,3.620051,109182882
ev,56011,5.137166000000001,47066853
ev,56011,3.7014259999999997,111078733
ev,56011,4.4885209999999995,145625965
ev,56011,5.623866,155113666
ev,56011,4.169698,32898951
ev,56011,3.766843,90664354
ev,56011,5.549497,64795845
ev,56011,2.7307099999999997,70386908
ev,56011,1.902765,62640536
ev,56011,3.250781,65323155
ev,56011,3.6828109999999996,22597565
ev,56011,2.751683,82536702
ev,56011,1.1520359999999998,15319249
ev,56011,3.840913,NaN
ev,56011,4.075391000000001,180292411
ev,56011,7.506311,NaN
