parking_set_type,parking_set_size,time_ms,path_distance
ev,56011,38.930621,277319503
ev,56011,27.829766999999997,NaN
ev,56011,4.9173849999999995,11733419
ev,56011,8.1013,36869606
ev,56011,10.583033,NaN
ev,56011,9.057246999999998,218731646
ev,56011,10.29111,NaN
ev,56011,10.401252,227533090
ev,56011,3.6443090000000002,75012942
ev,56011,8.412346,177600474
ev,56011,6.109856000000001,100304335
ev,56011,5.598577000000001,26528015
ev,56011,5.268858000000001,26340291
ev,56011,4.4924919999999995,10993622
ev,56011,9.702234,222683558
ev,56011,8.296501,218224484
ev,56011,6.745821,NaN
ev,56011,6.36467,80755571
ev,56011,16.277056,NaN
ev,56011,11.114245,NaN
ev,56011,5.695099,174867864
ev,56011,13.833223,NaN
ev,56011,3.41635,77596478
ev,56011,4.252979,15931976
ev,56011,11.347138999999999,NaN
ev,56011,8.822574,290056960
ev,56011,4.395631,7595823
ev,56011,5.75981,230364183
ev,56011,2.172304,25466433
ev,56011,8.09577,NaN
ev,56011,10.402108,NaN
ev,56011,7.861773,231703679
ev,56011,10.696552,NaN
ev,56011,14.290572,NaN
ev,56011,3.866511,85723990
ev,56011,6.72673,NaN
ev,56011,6.487473,148996142
ev,56011,4.242963,NaN
ev,56011,7.652415,NaN
ev,56011,4.162533000000001,149518556
ev,56011,7.699132,148598416
ev,56011,5.981918,NaN
ev,56011,4.784124,146358989
ev,56011,8.452179000000001,NaN
ev,56011,2.5569479999999998,26002122
ev,56011,1.864945,22407491
ev,56011,10.348177999999999,NaN
ev,56011,8.98157,NaN
ev,56011,9.699043,NaN
ev,56011,4.025265999999999,13328853
ev,56011,9.749194,NaN
ev,56011,4.144317,96994512
ev,56011,3.970994,301966094
ev,56011,1.835219,6796093
ev,56011,4.001758000000001,34617537
ev,56011,12.167100999999999,293091121
ev,56011,3.398705,309012789
ev,56011,5.8103620000000005,87366055
ev,56011,2.63085,75121167
ev,56011,5.279081,223116558
ev,56011,4.58723,109943153
ev,56011,2.4446939999999997,82384860
ev,56011,4.534902000000001,106373253
ev,56011,2.070522,83863074
ev,56011,3.351739,161609684
ev,56011,3.996118,92472494
ev,56011,3.048809,28833887
ev,56011,8.508291,NaN
ev,56011,2.1646009999999998,22839473
ev,56011,1.0434649999999999,NaN
ev,56011,7.595687,NaN
ev,56011,3.217105,95506420
ev,56011,4.223806,234329256
ev,56011,3.4806880000000002,92991246
ev,56011,0.985223,23285680
ev,56011,3.538579,27259744
ev,56011,5.3888929999999995,NaN
ev,56011,2.084851,31828207
ev,56011,0.588091,NaN
ev,56011,4.290239000000001,251551798
ev,56011,3.4296819999999997,NaN
ev,56011,6.7520690000000005,87639209
ev,56011,8.792086,NaN
ev,56011,6.197884,225248599
ev,56011,1.201475,NaN
ev,56011,2.855147,33835036
ev,56011,5.860606,99711730
ev,56011,3.0429519999999997,91316549
ev,56011,3.059806,91108338
ev,56011,3.079684,87973814
ev,56011,9.486901000000001,NaN
ev,56011,2.8081270000000003,214606593
ev,56011,3.148865,97141126
ev,56011,1.403537,NaN
ev,56011,2.822996,75977128
ev,56011,3.440775,146933003
ev,56011,8.039123,NaN
ev,56011,2.639984,75388167
ev,56011,2.810331,160813402
ev,56011,2.97851,152585421
ev,56011,2.631429,19371920
ev,56011,1.3450090000000001,26478254
ev,56011,1.934416,7946495
ev,56011,2.987596,300997493
ev,56011,1.375389,29004943
ev,56011,0.807029,NaN
ev,56011,5.437137,233485766
ev,56011,5.835229,365031482
ev,56011,2.405081,156170264
ev,56011,5.7767479999999995,223224116
ev,56011,4.984967,184563862
ev,56011,3.6962800000000002,28125383
ev,56011,2.446831,21320695
ev,56011,1.456497,15072806
ev,56011,4.04379,91240541
ev,56011,4.109056,103153827
ev,56011,3.031218,NaN
ev,56011,7.130458,NaN
ev,56011,1.85701,80922720
ev,56011,1.900042,36066720
ev,56011,4.623666999999999,288850809
ev,56011,4.58213,220603935
ev,56011,4.069577,149610386
ev,56011,1.595556,98851714
ev,56011,6.468648,NaN
ev,56011,1.79556,22553730
ev,56011,3.264683,21984562
ev,56011,1.833498,77066070
ev,56011,13.858703,NaN
ev,56011,5.2215940000000005,NaN
ev,56011,15.313402,NaN
ev,56011,7.6408700000000005,NaN
ev,56011,1.970135,23673484
ev,56011,4.57045,NaN
ev,56011,6.153862,230943564
ev,56011,6.111588,NaN
ev,56011,2.772999,NaN
ev,56011,3.597603,83076961
ev,56011,5.698989,NaN
ev,56011,9.901385000000001,NaN
ev,56011,7.728894,NaN
ev,56011,1.5323209999999998,14759447
ev,56011,1.189418,35574715
ev,56011,2.2291619999999996,152721526
ev,56011,2.728556,76974953
ev,56011,3.804989,76659906
ev,56011,1.753039,36350462
ev,56011,8.711698,NaN
ev,56011,2.678067,92639185
ev,56011,3.9009940000000003,NaN
ev,56011,4.3216909999999995,109357939
ev,56011,3.488283,155488192
ev,56011,5.387002,NaN
ev,56011,10.858041,NaN
ev,56011,5.256881,104256366
ev,56011,1.762716,28156015
ev,56011,6.425364,NaN
ev,56011,4.823174000000001,151329957
ev,56011,3.8126089999999997,223516330
ev,56011,7.779755,NaN
ev,56011,6.704343,NaN
ev,56011,4.51017,238863538
ev,56011,3.9320329999999997,NaN
