rel_core_size,abs_core_size,construction_time_ms,time_ms
0.05,4075286,268684.688,8.197423
0.05,4075286,268684.688,9.17685
0.05,4075286,268684.688,8.213305
0.05,4075286,268684.688,4.847308
0.05,4075286,268684.688,8.887225
0.05,4075286,268684.688,9.854379999999999
0.05,4075286,268684.688,8.046771
0.05,4075286,268684.688,6.472392
0.05,4075286,268684.688,4.983568
0.05,4075286,268684.688,10.738426
0.05,4075286,268684.688,5.87105
0.05,4075286,268684.688,5.064293
0.05,4075286,268684.688,8.552674999999999
0.05,4075286,268684.688,4.308001
0.05,4075286,268684.688,7.482285
0.05,4075286,268684.688,3.516547
0.05,4075286,268684.688,7.185917
0.05,4075286,268684.688,4.973926
0.05,4075286,268684.688,4.586609
0.05,4075286,268684.688,4.871594
0.05,4075286,268684.688,7.119867
0.05,4075286,268684.688,3.211606
0.05,4075286,268684.688,7.0676619999999994
0.05,4075286,268684.688,5.712668
0.05,4075286,268684.688,6.894029000000001
0.05,4075286,268684.688,2.660376
0.05,4075286,268684.688,3.458553
0.05,4075286,268684.688,7.823066
0.05,4075286,268684.688,3.092247
0.05,4075286,268684.688,5.028243
0.05,4075286,268684.688,6.678174
0.05,4075286,268684.688,6.399527
0.05,4075286,268684.688,3.46361
0.05,4075286,268684.688,4.838903999999999
0.05,4075286,268684.688,4.662178
0.05,4075286,268684.688,7.112429
0.05,4075286,268684.688,5.989673
0.05,4075286,268684.688,3.3797279999999996
0.05,4075286,268684.688,5.913927999999999
0.05,4075286,268684.688,3.472613
0.05,4075286,268684.688,5.21299
0.05,4075286,268684.688,3.819032
0.05,4075286,268684.688,3.249113
0.05,4075286,268684.688,5.369823
0.05,4075286,268684.688,2.240311
0.05,4075286,268684.688,3.205735
0.05,4075286,268684.688,3.440163
0.05,4075286,268684.688,6.3558900000000005
0.05,4075286,268684.688,3.155901
0.05,4075286,268684.688,4.939526
0.05,4075286,268684.688,2.555444
0.05,4075286,268684.688,3.770432
0.05,4075286,268684.688,4.248672
0.05,4075286,268684.688,3.9500100000000002
0.05,4075286,268684.688,6.80298
0.05,4075286,268684.688,3.074514
0.05,4075286,268684.688,4.437627
0.05,4075286,268684.688,5.153838
0.05,4075286,268684.688,6.139946
0.05,4075286,268684.688,5.533473
0.05,4075286,268684.688,5.681307
0.05,4075286,268684.688,4.3257319999999995
0.05,4075286,268684.688,3.6950529999999997
0.05,4075286,268684.688,3.891058
0.05,4075286,268684.688,5.396258
