algo,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_short_pauses,path_number_long_pauses
astar_chpot,12547874,29477659,1558,1356,1560,0,1356,11.764149999999999,13045495,1356,0,0,0
astar_chpot,12547874,29477659,3734,3299,4147,5,1703,4.322169,19072344,1679,5,1,0
astar_chpot,12547874,29477659,4064,3549,4173,5,2537,3.306571,21793860,1718,1,1,0
astar_chpot,12547874,29477659,1634,1330,1639,0,1330,2.287009,14172112,1330,0,0,0
astar_chpot,12547874,29477659,1878,1472,1895,1,1472,2.801882,15559887,1471,0,0,0
astar_chpot,12547874,29477659,2310,1647,2339,4,1647,2.749119,12681756,1647,0,0,0
astar_chpot,12547874,29477659,678,562,680,1,562,1.3690930000000001,5323579,562,0,0,0
astar_chpot,12547874,29477659,3872,3344,3964,6,2398,2.798347,21365408,1828,1,1,0
astar_chpot,12547874,29477659,1672,1384,1709,7,1384,1.606392,12592234,1384,3,0,0
astar_chpot,12547874,29477659,555,461,565,5,461,0.750144,4159528,454,0,0,0
astar_chpot,12547874,29477659,3678,3037,3740,4,2958,2.866161,20714609,1691,2,1,0
astar_chpot,12547874,29477659,1383,979,1401,3,979,2.089607,7301344,979,0,0,0
astar_chpot,12547874,29477659,3616,3219,3766,7,1830,2.4502119999999996,19076045,1520,4,1,0
astar_chpot,12547874,29477659,6620,5278,6804,7,4205,4.570589,21625494,1720,6,1,0
astar_chpot,12547874,29477659,3196,2876,3335,5,1851,2.5627039999999996,23106581,1840,4,1,0
astar_chpot,12547874,29477659,1322,1124,1327,1,1124,1.426051,11556272,1119,0,0,0
astar_chpot,12547874,29477659,479,307,479,0,307,0.897907,4186307,307,0,0,0
astar_chpot,12547874,29477659,970,801,971,0,801,1.407651,11506242,801,0,0,0
astar_chpot,12547874,29477659,802,640,809,1,640,1.076315,6159340,640,0,0,0
astar_chpot,12547874,29477659,1316,1130,1319,0,1130,1.201204,12228386,1130,0,0,0
astar_chpot,12547874,29477659,576,460,578,1,460,0.8277869999999999,4160009,460,0,0,0
astar_chpot,12547874,29477659,638,544,649,4,544,1.339652,5158520,544,0,0,0
astar_chpot,12547874,29477659,1602,1347,1611,1,1347,1.530956,14406073,1347,0,0,0
astar_chpot,12547874,29477659,3649,2981,3702,4,2827,2.773392,24540330,2044,2,1,0
astar_chpot,12547874,29477659,1652,1364,1736,1,1364,1.926271,14641845,1364,0,0,0
astar_chpot,12547874,29477659,1,1,0,0,1,0.265476,NaN,NaN,NaN,NaN,NaN
astar_chpot,12547874,29477659,853,649,858,0,649,0.878885,6486274,649,0,0,0
astar_chpot,12547874,29477659,1501,1153,1513,0,1153,1.556552,10364380,1153,0,0,0
astar_chpot,12547874,29477659,1339,999,1355,0,999,1.248581,7791351,999,0,0,0
astar_chpot,12547874,29477659,1608,1255,1648,3,1255,1.975733,12588867,1255,0,0,0
astar_chpot,12547874,29477659,12311,10134,12785,3,9183,8.746595,23165799,1872,1,1,0
astar_chpot,12547874,29477659,1367,988,1377,0,988,1.13971,9782221,988,0,0,0
astar_chpot,12547874,29477659,1417,1180,1422,2,1180,1.37513,11419364,1168,0,0,0
astar_chpot,12547874,29477659,1395,1162,1403,0,1162,1.476174,12735850,1162,0,0,0
astar_chpot,12547874,29477659,2026,1585,2039,1,1585,2.072246,14380161,1585,0,0,0
astar_chpot,12547874,29477659,1707,1255,1733,1,1255,1.613309,11255943,1255,0,0,0
astar_chpot,12547874,29477659,1153,903,1162,0,903,1.339208,8816845,903,0,0,0
astar_chpot,12547874,29477659,4463,3747,4525,4,3402,3.250128,30628848,2388,1,1,0
astar_chpot,12547874,29477659,982,819,987,1,819,1.135142,8305575,819,0,0,0
astar_chpot,12547874,29477659,2282,1640,2304,0,1640,2.0421110000000002,15779238,1640,0,0,0
astar_chpot,12547874,29477659,451,306,454,0,306,0.744908,2979082,306,0,0,0
astar_chpot,12547874,29477659,6662,5255,6993,2,4157,4.242152,20823920,1828,1,1,0
astar_chpot,12547874,29477659,1,1,0,0,1,0.218261,NaN,NaN,NaN,NaN,NaN
astar_chpot,12547874,29477659,1196,912,1216,1,912,1.622937,8795295,912,0,0,0
astar_chpot,12547874,29477659,3753,3306,3838,2,2426,2.633885,19218958,1384,1,1,0
astar_chpot,12547874,29477659,1,1,0,0,1,0.215408,NaN,NaN,NaN,NaN,NaN
astar_chpot,12547874,29477659,1274,917,1294,3,917,1.3440800000000002,8231387,917,0,0,0
astar_chpot,12547874,29477659,4407,3802,4524,13,2713,2.806654,22187659,1878,3,1,0
astar_chpot,12547874,29477659,2103,1802,2128,9,1802,1.90335,22035388,1795,3,1,0
astar_chpot,12547874,29477659,6244,5257,6417,18,4614,4.332464,23297270,1923,6,1,0
astar_chpot,12547874,29477659,1526,1357,1528,1,1357,1.373139,12409257,1357,0,0,0
astar_chpot,12547874,29477659,948,783,952,0,783,1.722945,7579645,783,0,0,0
astar_chpot,12547874,29477659,5681,4470,5826,5,4224,3.932703,28409829,2558,2,1,0
astar_chpot,12547874,29477659,2052,1583,2065,0,1583,1.848816,15939791,1583,0,0,0
astar_chpot,12547874,29477659,1504,1270,1507,1,1270,1.524311,13559542,1270,0,0,0
astar_chpot,12547874,29477659,5117,3890,5243,6,3798,3.826066,23092983,1745,6,1,0
astar_chpot,12547874,29477659,1458,1198,1485,1,1198,1.462971,12895267,1198,0,0,0
astar_chpot,12547874,29477659,1252,976,1271,1,976,1.451268,10061063,976,0,0,0
astar_chpot,12547874,29477659,993,836,1002,3,836,1.0614240000000001,8287470,836,0,0,0
astar_chpot,12547874,29477659,2130,1462,2156,0,1462,1.8708729999999998,12759524,1462,0,0,0
astar_chpot,12547874,29477659,1238,1060,1243,1,1060,1.551738,13204004,1060,0,0,0
astar_chpot,12547874,29477659,1,1,0,0,1,0.396335,NaN,NaN,NaN,NaN,NaN
astar_chpot,12547874,29477659,708,523,709,0,523,0.846437,8567020,523,0,0,0
astar_chpot,12547874,29477659,2199,1594,2210,0,1594,1.810114,14151945,1594,0,0,0
astar_chpot,12547874,29477659,1092,830,1102,2,830,1.155319,7907979,830,0,0,0
astar_chpot,12547874,29477659,1318,1116,1321,0,1116,1.374841,13455870,1115,0,0,0
astar_chpot,12547874,29477659,8254,6788,8455,2,5354,4.984693,19224969,1965,1,1,0
astar_chpot,12547874,29477659,7792,6244,8074,6,5532,5.606348,23432400,1899,2,1,0
astar_chpot,12547874,29477659,823,570,831,0,570,0.946152,4361255,570,0,0,0
astar_chpot,12547874,29477659,1669,1373,1687,4,1373,1.555907,12463016,1367,0,0,0
astar_chpot,12547874,29477659,1542,1364,1543,0,1364,1.392487,15633462,1364,0,0,0
astar_chpot,12547874,29477659,3759,3289,3815,1,2437,2.508791,20405845,1534,1,1,0
astar_chpot,12547874,29477659,1510,1111,1535,7,1111,1.4701440000000001,8844023,1104,0,0,0
astar_chpot,12547874,29477659,2026,1693,2037,2,1693,1.7318170000000002,15265531,1693,0,0,0
astar_chpot,12547874,29477659,1248,942,1252,1,942,1.288195,8083379,942,0,0,0
astar_chpot,12547874,29477659,3846,3332,3951,25,2908,2.8702490000000003,24481601,1930,2,1,0
astar_chpot,12547874,29477659,1922,1463,1939,0,1463,1.919196,12730372,1463,0,0,0
astar_chpot,12547874,29477659,859,540,873,0,540,0.87157,4658517,540,0,0,0
astar_chpot,12547874,29477659,1711,1343,1723,1,1343,1.528953,14349384,1343,0,0,0
astar_chpot,12547874,29477659,1826,1466,1913,3,1466,1.653074,15594589,1466,0,0,0
astar_chpot,12547874,29477659,2039,1631,2054,1,1631,1.741581,15643161,1617,0,0,0
astar_chpot,12547874,29477659,1,1,0,0,1,0.135809,NaN,NaN,NaN,NaN,NaN
astar_chpot,12547874,29477659,1448,1093,1461,1,1093,1.385435,11327617,1093,0,0,0
astar_chpot,12547874,29477659,1405,1217,1410,3,1217,1.3389879999999998,14799763,1217,0,0,0
astar_chpot,12547874,29477659,2481,2004,2513,11,2004,2.093842,20312789,2004,3,1,0
astar_chpot,12547874,29477659,7033,6038,7310,4,5343,4.6851519999999995,24030579,1784,1,1,0
astar_chpot,12547874,29477659,1200,1028,1222,10,1028,1.23556,10063778,1028,0,0,0
astar_chpot,12547874,29477659,1105,909,1107,0,909,1.1952079999999998,10815108,909,0,0,0
astar_chpot,12547874,29477659,1,1,0,0,1,0.122771,NaN,NaN,NaN,NaN,NaN
astar_chpot,12547874,29477659,1579,1282,1591,2,1282,1.630649,13836366,1282,0,0,0
astar_chpot,12547874,29477659,1168,870,1184,3,870,1.030039,7397166,870,0,0,0
astar_chpot,12547874,29477659,7618,6131,7892,23,4625,4.652832,19898303,1897,7,1,0
astar_chpot,12547874,29477659,1397,1122,1404,0,1122,1.3925750000000001,12507249,1122,0,0,0
astar_chpot,12547874,29477659,1753,1486,1770,7,1486,1.68869,13536790,1486,0,0,0
astar_chpot,12547874,29477659,1374,1002,1392,2,1002,1.504916,8846104,1002,0,0,0
astar_chpot,12547874,29477659,2273,1724,2297,0,1724,1.8677260000000002,14324843,1724,0,0,0
astar_chpot,12547874,29477659,498,335,499,0,335,0.7524679999999999,2464790,335,0,0,0
astar_chpot,12547874,29477659,994,761,999,0,761,1.096503,7704065,761,0,0,0
astar_chpot,12547874,29477659,813,641,814,0,641,0.9803450000000001,6644511,641,0,0,0
astar_chpot,12547874,29477659,8677,6991,8951,4,6205,5.621336,24963021,2056,2,1,0
astar_bidir_chpot,12547874,29477659,1558,1356,1560,0,1356,20.475389,13045495,1356,0,0,0
astar_bidir_chpot,12547874,29477659,3734,3299,4147,5,1703,8.008023,19072344,1679,5,1,0
astar_bidir_chpot,12547874,29477659,4064,3549,4173,5,2537,6.9297580000000005,21793860,1718,1,1,0
astar_bidir_chpot,12547874,29477659,1634,1330,1639,0,1330,4.240902999999999,14172112,1330,0,0,0
astar_bidir_chpot,12547874,29477659,1878,1472,1895,1,1472,3.861588,15559887,1471,0,0,0
astar_bidir_chpot,12547874,29477659,2310,1647,2339,4,1647,3.5214529999999997,12681756,1647,0,0,0
astar_bidir_chpot,12547874,29477659,678,562,680,1,562,2.512107,5323579,562,0,0,0
astar_bidir_chpot,12547874,29477659,3872,3344,3964,6,2398,5.3471020000000005,21365408,1828,1,1,0
