algo,dijkstra_rank_exponent,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_pauses
astar_chpot,0,81505729,189837356,4,1,3,0,1,5.320776,0,1,0,0
astar_chpot,1,81505729,189837356,4,2,3,0,2,0.307179,27900,2,0,0
astar_chpot,2,81505729,189837356,7,3,6,0,3,0.309216,33966,3,0,0
astar_chpot,3,81505729,189837356,11,5,10,0,5,0.309828,39582,5,0,0
astar_chpot,4,81505729,189837356,14,8,13,0,8,0.31072,70308,8,0,0
astar_chpot,5,81505729,189837356,20,10,19,0,10,0.473266,208062,10,0,0
astar_chpot,6,81505729,189837356,29,14,28,0,14,1.283569,312948,14,0,0
astar_chpot,7,81505729,189837356,39,20,38,0,20,0.32572500000000004,402228,20,0,0
astar_chpot,8,81505729,189837356,40,20,39,0,20,0.327155,476694,20,0,0
astar_chpot,9,81505729,189837356,78,40,77,0,40,1.4322759999999999,623862,40,0,0
astar_chpot,10,81505729,189837356,84,41,83,0,41,1.097194,765864,41,0,0
astar_chpot,11,81505729,189837356,118,62,117,0,62,2.311674,880399,62,0,0
astar_chpot,12,81505729,189837356,68,35,68,0,35,1.087628,1118376,35,0,0
astar_chpot,13,81505729,189837356,133,70,135,0,70,6.02984,1903308,70,0,0
astar_chpot,14,81505729,189837356,203,111,203,0,111,3.8484399999999996,3069270,111,0,0
astar_chpot,15,81505729,189837356,466,250,473,0,250,21.211648999999998,4107010,250,0,0
astar_chpot,16,81505729,189837356,460,241,465,0,241,8.829073,5361919,241,0,0
astar_chpot,17,81505729,189837356,559,312,568,0,312,8.53054,6797608,312,0,0
astar_chpot,18,81505729,189837356,1183,654,1194,0,654,17.967212,8280347,654,0,0
astar_chpot,19,81505729,189837356,1121,634,1145,0,634,13.253749000000001,12483044,634,0,0
astar_chpot,20,81505729,189837356,1380810,1383455,1551298,30,1110824,1199.706134,NaN,NaN,NaN,NaN
astar_chpot,21,81505729,189837356,1378970,1383455,1550947,30,1110824,1396.091802,NaN,NaN,NaN,NaN
astar_chpot,22,81505729,189837356,1379274,1383455,1552143,30,1110824,1107.50919,NaN,NaN,NaN,NaN
astar_chpot,23,81505729,189837356,1380795,1383455,1552247,30,1110824,1074.9715420000002,NaN,NaN,NaN,NaN
